video_id,published_at,text,start,duration
n1XnIX04zZI,2024-12-12T21:00:06Z,vamos dizer atenta contra minha imagem,0.0,4.68
n1XnIX04zZI,2024-12-12T21:00:06Z,de fascista um extremista de direita ou,1.439,4.561
n1XnIX04zZI,2024-12-12T21:00:06Z,Cadê o,4.68,5.039
n1XnIX04zZI,2024-12-12T21:00:06Z,pó l de Carvalho um cachorro ou um porco,6.0,5.84
n1XnIX04zZI,2024-12-12T21:00:06Z,sendo sacrificado eu simplesmente não,9.719,3.241
n1XnIX04zZI,2024-12-12T21:00:06Z,vou perder me tempo respondendo,11.84,2.32
n1XnIX04zZI,2024-12-12T21:00:06Z,Antigamente eu me estressava com esses,12.96,3.2
n1XnIX04zZI,2024-12-12T21:00:06Z,assuntos hoje se ela quer fazer a,14.16,4.8
n1XnIX04zZI,2024-12-12T21:00:06Z,matéria porca dela ela que se esforce eu,16.16,4.08
n1XnIX04zZI,2024-12-12T21:00:06Z,vou mandar tirar o meu quadro da casa,18.96,4.6
n1XnIX04zZI,2024-12-12T21:00:06Z,dele e ele tirou do bumbum dele e quero,20.24,5.55
n1XnIX04zZI,2024-12-12T21:00:06Z,que o Luigi faça um react,23.56,5.28
n1XnIX04zZI,2024-12-12T21:00:06Z,[Música],25.79,3.05
n1XnIX04zZI,2024-12-12T21:00:06Z,Bom dia pessoal são 6 horas da manhã,30.08,2.88
n1XnIX04zZI,2024-12-12T21:00:06Z,Chegamos aqui para gravar o dia com o,31.72,4.04
n1XnIX04zZI,2024-12-12T21:00:06Z,Renan fica,32.96,6.32
n1XnIX04zZI,2024-12-12T21:00:06Z,ligado Feliz,35.76,3.52
n1XnIX04zZI,2024-12-12T21:00:06Z,Natal morando 14 Coincidências eu tô,43.52,4.92
n1XnIX04zZI,2024-12-12T21:00:06Z,morrendo de fome Renan falou que ia,46.879,4.041
n1XnIX04zZI,2024-12-12T21:00:06Z,prepar um café da manhã é bom e vamos,48.44,4.88
n1XnIX04zZI,2024-12-12T21:00:06Z,contar com,50.92,2.4
n1XnIX04zZI,2024-12-12T21:00:06Z,ele Bom,55.48,7.12
n1XnIX04zZI,2024-12-12T21:00:06Z,dia e aí beleza Com licença tira o tênis,58.16,6.959
n1XnIX04zZI,2024-12-12T21:00:06Z,ou não não F faz o que vocês quiserem,62.6,5.36
n1XnIX04zZI,2024-12-12T21:00:06Z,não tô esse comportamento ja de tênis,65.119,6.121
n1XnIX04zZI,2024-12-12T21:00:06Z,assim nada nada conta tirar mas faz o,67.96,4.88
n1XnIX04zZI,2024-12-12T21:00:06Z,que você quiser fique à vontade Então tá,71.24,5.84
n1XnIX04zZI,2024-12-12T21:00:06Z,bom E aí pessoal tudo certo tudo bom bom,72.84,7.72
n1XnIX04zZI,2024-12-12T21:00:06Z,hoje é um dia com ran Santos né sim,77.08,5.88
n1XnIX04zZI,2024-12-12T21:00:06Z,e espero que seja um dia um pouco mais,80.56,4.96
n1XnIX04zZI,2024-12-12T21:00:06Z,ocupado que o dia de Artur Val né,82.96,4.68
n1XnIX04zZI,2024-12-12T21:00:06Z,ah Espero que seja um dia menos,85.52,4.4
